,val,dataset,scenario
0,11.74675,disparity-qcif,1-h-16
1,11.74897,disparity-qcif,1-h-16
2,11.75286,disparity-qcif,1-h-16
3,11.76029,disparity-qcif,1-h-16
4,11.75516,disparity-qcif,1-h-16
5,5.5123,disparity-sqcif,1-h-16
6,5.51542,disparity-sqcif,1-h-16
7,5.51676,disparity-sqcif,1-h-16
8,5.51289,disparity-sqcif,1-h-16
9,5.52382,disparity-sqcif,1-h-16
10,8.79045,localization-qcif,1-h-16
11,8.78026,localization-qcif,1-h-16
12,8.77841,localization-qcif,1-h-16
13,8.77966,localization-qcif,1-h-16
14,8.77662,localization-qcif,1-h-16
15,1.41704,localization-sqcif,1-h-16
16,1.41933,localization-sqcif,1-h-16
17,1.42064,localization-sqcif,1-h-16
18,1.42323,localization-sqcif,1-h-16
19,1.42289,localization-sqcif,1-h-16
20,3.54828,mser-qcif,1-h-16
21,3.54269,mser-qcif,1-h-16
22,3.5515,mser-qcif,1-h-16
23,3.54786,mser-qcif,1-h-16
24,3.54749,mser-qcif,1-h-16
25,1.173007,mser-sqcif,1-h-16
26,1.171794,mser-sqcif,1-h-16
27,1.17066,mser-sqcif,1-h-16
28,1.168415,mser-sqcif,1-h-16
29,1.170995,mser-sqcif,1-h-16
30,12.3886,sift-qcif,1-h-16
31,12.3439,sift-qcif,1-h-16
32,12.3314,sift-qcif,1-h-16
33,12.3356,sift-qcif,1-h-16
34,12.3344,sift-qcif,1-h-16
35,5.38495,sift-sqcif,1-h-16
36,5.37209,sift-sqcif,1-h-16
37,5.35503,sift-sqcif,1-h-16
38,5.35309,sift-sqcif,1-h-16
39,5.35754,sift-sqcif,1-h-16
40,10.12427,stitch-qcif,1-h-16
41,10.13158,stitch-qcif,1-h-16
42,10.11259,stitch-qcif,1-h-16
43,10.11426,stitch-qcif,1-h-16
44,10.11633,stitch-qcif,1-h-16
45,3.69713,stitch-sqcif,1-h-16
46,3.69182,stitch-sqcif,1-h-16
47,3.69983,stitch-sqcif,1-h-16
48,3.69477,stitch-sqcif,1-h-16
49,3.69554,stitch-sqcif,1-h-16
50,8.59601,tracking-qcif,1-h-16
51,8.57607,tracking-qcif,1-h-16
52,8.58053,tracking-qcif,1-h-16
53,8.57709,tracking-qcif,1-h-16
54,8.57923,tracking-qcif,1-h-16
55,3.11988,tracking-sqcif,1-h-16
56,3.11289,tracking-sqcif,1-h-16
57,3.11285,tracking-sqcif,1-h-16
58,3.11477,tracking-sqcif,1-h-16
59,3.10832,tracking-sqcif,1-h-16
60,11.57648,disparity-qcif,2-h-32
61,11.56788,disparity-qcif,2-h-32
62,11.56654,disparity-qcif,2-h-32
63,11.56078,disparity-qcif,2-h-32
64,11.56322,disparity-qcif,2-h-32
65,5.22048,disparity-sqcif,2-h-32
66,5.2038,disparity-sqcif,2-h-32
67,5.21096,disparity-sqcif,2-h-32
68,5.20891,disparity-sqcif,2-h-32
69,5.20796,disparity-sqcif,2-h-32
70,8.69661,localization-qcif,2-h-32
71,8.68728,localization-qcif,2-h-32
72,8.68042,localization-qcif,2-h-32
73,8.6809,localization-qcif,2-h-32
74,8.68439,localization-qcif,2-h-32
75,1.40034,localization-sqcif,2-h-32
76,1.39638,localization-sqcif,2-h-32
77,1.39853,localization-sqcif,2-h-32
78,1.38838,localization-sqcif,2-h-32
79,1.39598,localization-sqcif,2-h-32
80,3.49012,mser-qcif,2-h-32
81,3.4888,mser-qcif,2-h-32
82,3.49123,mser-qcif,2-h-32
83,3.48952,mser-qcif,2-h-32
84,3.48462,mser-qcif,2-h-32
85,1.136684,mser-sqcif,2-h-32
86,1.135007,mser-sqcif,2-h-32
87,1.131653,mser-sqcif,2-h-32
88,1.132436,mser-sqcif,2-h-32
89,1.132557,mser-sqcif,2-h-32
90,11.4931,sift-qcif,2-h-32
91,11.488,sift-qcif,2-h-32
92,11.5079,sift-qcif,2-h-32
93,11.4868,sift-qcif,2-h-32
94,11.4242,sift-qcif,2-h-32
95,5.2379,sift-sqcif,2-h-32
96,5.21995,sift-sqcif,2-h-32
97,5.22363,sift-sqcif,2-h-32
98,5.21986,sift-sqcif,2-h-32
99,5.22804,sift-sqcif,2-h-32
100,9.91258,stitch-qcif,2-h-32
101,9.90784,stitch-qcif,2-h-32
102,9.92242,stitch-qcif,2-h-32
103,9.91207,stitch-qcif,2-h-32
104,9.90756,stitch-qcif,2-h-32
105,3.63489,stitch-sqcif,2-h-32
106,3.62866,stitch-sqcif,2-h-32
107,3.62696,stitch-sqcif,2-h-32
108,3.62444,stitch-sqcif,2-h-32
109,3.6235,stitch-sqcif,2-h-32
110,8.49606,tracking-qcif,2-h-32
111,8.4966,tracking-qcif,2-h-32
112,8.49139,tracking-qcif,2-h-32
113,8.48746,tracking-qcif,2-h-32
114,8.49091,tracking-qcif,2-h-32
115,3.06884,tracking-sqcif,2-h-32
116,3.05992,tracking-sqcif,2-h-32
117,3.06032,tracking-sqcif,2-h-32
118,3.0606,tracking-sqcif,2-h-32
119,3.05575,tracking-sqcif,2-h-32
120,12.97789,disparity-qcif,0-baseline
121,12.96054,disparity-qcif,0-baseline
122,12.97309,disparity-qcif,0-baseline
123,12.9838,disparity-qcif,0-baseline
124,12.98024,disparity-qcif,0-baseline
125,6.11542,disparity-sqcif,0-baseline
126,6.1194,disparity-sqcif,0-baseline
127,6.10132,disparity-sqcif,0-baseline
128,6.10086,disparity-sqcif,0-baseline
129,6.11081,disparity-sqcif,0-baseline
130,9.75289,localization-qcif,0-baseline
131,9.75231,localization-qcif,0-baseline
132,9.74403,localization-qcif,0-baseline
133,9.75286,localization-qcif,0-baseline
134,9.7556,localization-qcif,0-baseline
135,1.58778,localization-sqcif,0-baseline
136,1.58832,localization-sqcif,0-baseline
137,1.58819,localization-sqcif,0-baseline
138,1.57628,localization-sqcif,0-baseline
139,1.58372,localization-sqcif,0-baseline
140,3.94121,mser-qcif,0-baseline
141,3.93199,mser-qcif,0-baseline
142,3.93302,mser-qcif,0-baseline
143,3.93205,mser-qcif,0-baseline
144,3.92381,mser-qcif,0-baseline
145,1.31732,mser-sqcif,0-baseline
146,1.31139,mser-sqcif,0-baseline
147,1.3159,mser-sqcif,0-baseline
148,1.31228,mser-sqcif,0-baseline
149,1.30739,mser-sqcif,0-baseline
150,13.5645,sift-qcif,0-baseline
151,13.6759,sift-qcif,0-baseline
152,13.6434,sift-qcif,0-baseline
153,13.5759,sift-qcif,0-baseline
154,13.6233,sift-qcif,0-baseline
155,5.9802,sift-sqcif,0-baseline
156,5.96734,sift-sqcif,0-baseline
157,5.97122,sift-sqcif,0-baseline
158,5.95644,sift-sqcif,0-baseline
159,5.9808,sift-sqcif,0-baseline
160,11.41706,stitch-qcif,0-baseline
161,11.42003,stitch-qcif,0-baseline
162,11.42694,stitch-qcif,0-baseline
163,11.41763,stitch-qcif,0-baseline
164,11.41237,stitch-qcif,0-baseline
165,4.13209,stitch-sqcif,0-baseline
166,4.13477,stitch-sqcif,0-baseline
167,4.12834,stitch-sqcif,0-baseline
168,4.1325,stitch-sqcif,0-baseline
169,4.1277,stitch-sqcif,0-baseline
170,9.52436,tracking-qcif,0-baseline
171,9.51299,tracking-qcif,0-baseline
172,9.51118,tracking-qcif,0-baseline
173,9.51743,tracking-qcif,0-baseline
174,9.51181,tracking-qcif,0-baseline
175,3.46122,tracking-sqcif,0-baseline
176,3.45897,tracking-sqcif,0-baseline
177,3.46431,tracking-sqcif,0-baseline
178,3.4559,tracking-sqcif,0-baseline
179,3.45608,tracking-sqcif,0-baseline
